,Accuracy_svm,Deviation
0,0.0,0.0
1,0.16597510373443983,0.01
2,0.34647302904564314,0.02
3,0.475103734439834,0.03
4,0.5995850622406639,0.04
5,0.6929460580912863,0.05
6,0.7697095435684648,0.06
7,0.8360995850622407,0.07
8,0.8775933609958506,0.08
9,0.9087136929460581,0.09
10,0.9294605809128631,0.1
11,0.950207468879668,0.11
12,0.966804979253112,0.12
13,0.9813278008298755,0.13
14,0.9854771784232366,0.14
15,0.9875518672199171,0.15
16,0.9937759336099585,0.16
17,0.9937759336099585,0.17
18,0.995850622406639,0.18
19,0.995850622406639,0.19
20,1.0,0.2
21,1.0,0.21
22,1.0,0.22
23,1.0,0.23
24,1.0,0.24
25,1.0,0.25
26,1.0,0.26
27,1.0,0.27
28,1.0,0.28
29,1.0,0.29
30,1.0,0.3
31,1.0,0.31
32,1.0,0.32
33,1.0,0.33
34,1.0,0.34
35,1.0,0.35000000000000003
36,1.0,0.36
37,1.0,0.37
38,1.0,0.38
39,1.0,0.39
40,1.0,0.4
41,1.0,0.41000000000000003
42,1.0,0.42
43,1.0,0.43
44,1.0,0.44
45,1.0,0.45
46,1.0,0.46
47,1.0,0.47000000000000003
48,1.0,0.48
49,1.0,0.49
50,1.0,0.5
51,1.0,0.51
52,1.0,0.52
53,1.0,0.53
54,1.0,0.54
55,1.0,0.55
56,1.0,0.56
57,1.0,0.5700000000000001
58,1.0,0.58
59,1.0,0.59
60,1.0,0.6
61,1.0,0.61
62,1.0,0.62
63,1.0,0.63
64,1.0,0.64
65,1.0,0.65
66,1.0,0.66
67,1.0,0.67
68,1.0,0.68
69,1.0,0.6900000000000001
70,1.0,0.7000000000000001
71,1.0,0.71
72,1.0,0.72
73,1.0,0.73
74,1.0,0.74
75,1.0,0.75
76,1.0,0.76
77,1.0,0.77
78,1.0,0.78
79,1.0,0.79
80,1.0,0.8
81,1.0,0.81
82,1.0,0.8200000000000001
83,1.0,0.8300000000000001
84,1.0,0.84
85,1.0,0.85
86,1.0,0.86
87,1.0,0.87
88,1.0,0.88
89,1.0,0.89
90,1.0,0.9
91,1.0,0.91
92,1.0,0.92
93,1.0,0.93
94,1.0,0.9400000000000001
95,1.0,0.9500000000000001
96,1.0,0.96
97,1.0,0.97
98,1.0,0.98
99,1.0,0.99
